0,2815.2,3495.1,2757.8,3227,4899.5,4210.9,3433.8,2740.2,2623.7,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,38,1444
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,34,1156
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,38,1444
0,0,0,0,0,0,0,0,0,3291.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1431,1399,852,1034,1,1,0,1,1,1,0,0,0,1,0,1,0,0,23,529
790.71,2991.8,0,996.41,0,0,313.97,2910,2703.7,3119.3,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,788,1,1,0,1,1,0,0,0,0,1,0,1,0,0,40,1600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,27,729
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1899,1989,2652,1989,1,0,0,1,1,0,0,0,0,0,1,0,0,0,29,841
2070.1,1861.6,2951.8,2770.4,2210.4,2192.4,1134.5,1635,197,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1,1,0,1,1,0,0,0,0,1,0,0,0,0,39,1521
753.4,2303.8,846.43,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1605,1070,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,19,361
0,0,0,724.14,1742.8,3340.9,4430.9,5440.1,4755.1,4667.6,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,753,0,1656,2364,1,1,0,1,1,0,0,0,0,1,0,1,0,0,31,961
0,0,0,0,0,901.77,471.68,0,0,1123.9,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1533,1533,1533,1218,0,0,0,1,1,0,0,0,0,0,1,1,0,0,32,1024
0,0,3816.1,4039.8,5237,5688.4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,28,784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,22,484
5421.8,1759.7,0,0,0,2251.8,1090.8,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,37,1369
0,0,0,0,0,0,0,465.79,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1533,1533,1605,2140,1,0,1,1,0,0,0,0,0,0,1,0,0,1,23,529
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,500,1,1,0,1,1,0,0,0,0,0,1,0,1,0,32,1024
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1533,1605,2140,1605,1,0,1,1,0,0,0,0,0,0,1,0,0,1,43,1849
